symbol,avg(t.volumeend)
ADBE,2627679.5
ADBE,4864005.333
ADBE,4476042
ADBE,3596614.085
ADBE,3369585.587
AKAM,3080068.857
AKAM,2942555.975
AKAM,2978260.932
AKAM,3195337.184
AKAM,2965508.398
ALTR,3307122.667
ALTR,3637631.043
ALTR,3614930.218
ALTR,3458331.934
ALXN,0
ALXN,186.6667
ALXN,861.5897
AMAT,15193333.33
AMAT,13407180.1
AMAT,13902908.68
AMAT,14577202.89
AMGN,4581009.682
AMGN,4276384.925
AMGN,4782171.648
AMGN,4099997.975
AMZN,3314663.955
AMZN,3483450.645
AMZN,3341897.881
AMZN,3334866.451
APOL,2245478.074
BBBY,2189381.75
BBBY,1958412.893
BBBY,2386429.949
BBBY,2536832.737
BIDU,3768799
BIDU,4878588.259
BIDU,5021398.674
BIDU,4168755.123
BRCM,7142634.643
BRCM,6546384.286
BRCM,7018547.63
BRCM,6772557.5
CELG,183040.4286
CELG,87856.2955
CELG,58686.803
CELG,59639.1125
CERN,1351762.542
CERN,1091325.5
CERN,1083604.493
CERN,1074245.264
CHRW,1185222.167
CHRW,1318065.172
CHRW,1484564.913
COST,781350.4615
COST,2060705.864
CSCO,44200000
CSCO,39209836.07
CSCO,38372916.67
CSCO,37728695.65
CTSH,0
CTXS,1677611.385
CTXS,1987919.077
CTXS,2185853
CTXS,2100974.149
CTXS,2093711.661
DELL,14900000
DELL,21485000
DELL,50605882.35
DELL,20387179.49
DELL,21292222.22
DLTR,2190.2963
DLTR,504.4909
DLTR,2806.3538
ESRX,4603717.882
ESRX,4817034.333
ESRX,4772040.067
ESRX,4638716.98
EXPD,355977.1176
EXPD,307155.8444
EXPD,2044559.694
EXPE,3725479.708
EXPE,3397846.714
EXPE,2993403.017
EXPE,2930283.747
FAST,603.871
FAST,86089.3333
FFIV,1751446.462
FFIV,1685868.577
FFIV,1667126.816
FFIV,1683613
FISV,889097.4545
FISV,799334.4386
FISV,760978.2208
FLEX,3749451.643
FLEX,4597477.705
FLEX,4330894.316
FLEX,4440128.648
FLIR,309.7143
FLIR,229.5
FLIR,194.4915
FSLR,6198920.974
FSLR,5323493.792
GMCR,4906256.346
GMCR,4457633.733
GRMN,0
ILMN,1151452.571
ILMN,1517165.186
ILMN,1403345.849
INTU,1796070.476
INTU,2078433.255
INTU,1884184.436
ISRG,438971.2927
KLAC,2027862.8
KLAC,2042655.054
KLAC,1961480.196
KLAC,1930228.081
LLTC,2190773.5
LLTC,2387600.731
LRCX,4446134.083
LRCX,3921780.441
LRCX,3491208.096
LRCX,2977700.011
MCHP,1867207.966
MRVL,12032253.52
MRVL,12034306.67
MRVL,10071843.54
MXIM,2741840.591
MXIM,2612380.429
MXIM,2689150.03
MXIM,2796774.58
NFLX,4433122.231
NFLX,5627902.941
NFLX,5238279.435
NFLX,5123471.543
NIHD,92.1333
NTAP,11368317.88
NTAP,7802651.323
NTAP,7125076.143
NVDA,10816882.95
NVDA,10570302.87
NVDA,11855945.76
ORCL,28900000
ORCL,30120833.33
ORCL,22222077.92
ORCL,22436842.11
ORLY,3980001
PAYX,3264293.2
PAYX,2281360.068
PCAR,18700.1333
PCAR,13771.1163
PCAR,46156.6327
PCLN,897785.8824
PCLN,968698.8788
PCLN,904220.8615
QCOM,10997410.49
QCOM,11317222.3
QCOM,11557500.22
QGEN,345015.2143
QGEN,1050131.313
QGEN,95199.863
QGEN,1019938
ROST,276924.4643
ROST,283249.8621
ROST,2668651.34
SBUX,7544225.957
SBUX,7761112.795
SBUX,7141986.968
SBUX,6475860.595
SIAL,2431.9286
SIAL,0
SIAL,11.6
SNDK,4620732.654
SNDK,4318164.482
SNDK,4432170.436
SRCL,491863
SRCL,373955.1
SRCL,427093.1864
SRCL,437120.4713
SRCL,411797.3304
SYMC,0
SYMC,9829038.167
SYMC,96742.5778
SYMC,8147642.276
SYMC,8178839.09
URBN,2700033.235
URBN,2928440.412
URBN,2545226.211
URBN,2397667.345
URBN,2163262.861
VRSN,2098495.818
VRSN,2432174.9
VRSN,2444915.698
VRSN,2202697.329
WYNN,1674699.5
WYNN,1978746.419
WYNN,1693526.971
WYNN,182276.6133
XLNX,2696719.031
XLNX,2988028.571
XLNX,2947834.218
XLNX,2913247.174
YHOO,18370082.8
YHOO,18501075.7
