count(*),symbol
222,ADBE
222,ADP
222,ADSK
222,AKAM
222,ALTR
222,ALXN
222,AMAT
222,AMGN
222,AMZN
222,APOL
222,ATVI
222,BBBY
222,BIDU
222,BIIB
222,BMC
222,BRCM
222,CA
222,CELG
222,CERN
222,CHKP
222,CHRW
222,CMCSA
222,COST
222,CSCO
222,CTRP
222,CTSH
222,CTXS
222,DELL
222,DLTR
222,DTV
222,EA
222,EBAY
222,ESRX
222,EXPD
222,EXPE
222,FAST
222,FFIV
222,FISV
222,FLEX
222,FLIR
222,FSLR
222,GILD
222,GMCR
222,GRMN
222,HSIC
222,ILMN
222,INFY
222,INTU
222,ISRG
222,JOY
222,KLAC
222,LIFE
222,LINTA
222,LLTC
222,LRCX
222,MAT
222,MCHP
222,MRVL
222,MU
222,MXIM
222,MYL
222,NFLX
222,NIHD
222,NTAP
222,NVDA
222,NWSA
222,ORCL
222,ORLY
222,PAYX
222,PCAR
222,PCLN
222,QCOM
222,QGEN
96,RIMM
222,ROST
222,SBUX
222,SHLD
222,SIAL
222,SIRI
222,SNDK
222,SPLS
222,SRCL
222,STX
222,SYMC
222,TEVA
222,URBN
175,VMED
222,VOD
222,VRSN
222,VRTX
222,WCRX
222,WFM
222,WYNN
222,XLNX
222,XRAY
222,YHOO
